"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-11","2","2","1","1.3","2.24","6.39","3.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-12","1","0","1","0.6","0.35","1.22","1.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-01","0","0","0","0.4","0.82","3.42","0.8"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-02","5","5","4","3.5","0.72","2.84","10.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-03","1","1","3","2.0","1.79","3.42","2.6"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-04","0","0","0","0.0","0.37","1.59","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-05","0","0","0","0.0","0.37","1.31","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-06","0","0","0","0.0","2.98","7.74","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-07","0","0","0","0.0","1.38","3.96","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-08","0","0","0","0.0","1.06","3.32","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-09","0","0","0","0.0","0.65","1.08","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-10","0","0","0","0.0","1.07","3.27","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-11","2","1","3","3.0","1.33","6.01","3.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-12","1","1","1","2.7","1.82","6.38","3.4"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-01","19","6","6","5.3","2.24","7.28","24.3"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-02","18","1","6","3.6","0.70","0.72","3.7"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-03","2","1","1","1.2","1.89","4.28","3.5"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-04","1","1","2","3.2","2.52","9.46","4.1"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-05","0","0","0","0.0","0.65","1.75","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-06","0","0","0","0.0","1.45","2.63","0.0"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-07","0","0","0","0.0","0.70","0.82","0.0"
