"STATION","NAME","DATE","AWND","PRCP"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-11",,"8.89"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1983-12",,"4.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-01","11.2","2.31"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-02","12.1","7.81"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-03","13.6","6.82"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-04","9.6","4.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-05","13.0","8.76"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-06","11.9","3.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-07","11.6","4.43"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-08","8.9","1.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-09","9.8","1.22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-10","9.8","5.18"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-11","11.9","1.69"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1984-12","11.2","2.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-01","11.9","1.12"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-02","12.1","1.83"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-03","12.5","2.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-04","11.2","1.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-05","11.2","3.37"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-06","10.7","3.94"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-07","11.0","3.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-08","9.8","6.67"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-09","10.5","3.00"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-10","11.0","1.65"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-11","11.9","6.39"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1985-12","12.1","1.22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-01","13.6","3.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-02","11.9","2.84"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-03","13.0","3.42"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-04","11.4","1.59"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-05","12.3","1.31"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-06","12.8","7.74"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-07","11.2","3.96"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-08","10.3","3.32"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-09","11.4","1.08"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-10","11.9","3.27"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-11","13.4","6.01"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1986-12","13.4","6.38"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-01","14.5","7.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-02","14.3","0.72"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-03","12.1","4.28"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-04","13.4","9.46"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-05","12.3","1.75"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-06","12.3","2.63"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-07","11.9","0.82"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-08","12.5","2.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-09","11.9","7.30"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-10","12.8","2.73"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-11","13.9","3.49"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1987-12","14.1","2.13"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-01","13.6","2.51"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-02","13.9","3.93"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-03","14.3","3.52"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-04","13.9","1.48"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-05","12.5","2.86"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-06","13.6","1.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-07","11.2","7.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-08","12.1","1.11"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-09","13.2","1.29"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-10","13.9","1.60"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-11","13.9","6.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1988-12","14.5","1.02"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-01","14.5","0.62"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-02","13.9","2.51"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-03","14.5","3.07"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-04","13.6","3.57"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-05","13.2","3.55"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-06","11.6","2.84"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1989-07","11.4","5.09"
